active,confirmed,country,deaths,recovered
293,146,Taiwan,5,43
98,146,Taiwan,5,43
98,146,Venezuela,5,43
98,98,Venezuela,5,43
98,98,Venezuela,5,43
98,98,Venezuela,5,0
93,98,Venezuela,5,0
93,98,Niger,5,0
93,19,Niger,5,0
93,19,Niger,4,0
93,19,Niger,4,0
15,19,Niger,4,0
15,19,Guyana,4,0
15,672,Guyana,4,0
15,672,Guyana,4,0
15,672,Guyana,4,382
286,672,Guyana,4,382
286,672,Bahrain,4,382
286,159,Bahrain,4,382
286,159,Bahrain,4,382
286,159,Bahrain,4,24
131,159,Bahrain,4,24
131,159,Sri Lanka,4,24
131,1364,Sri Lanka,4,24
131,1364,Sri Lanka,4,24
131,1364,Sri Lanka,4,309
1051,1364,Sri Lanka,4,309
1051,1364,Iceland,4,309
1051,845,Iceland,4,309
1051,845,Iceland,4,309
1051,845,Iceland,4,173
668,845,Iceland,4,173
668,845,Hong Kong,4,173
668,369,Hong Kong,4,173
668,369,Hong Kong,4,173
668,369,Hong Kong,4,68
297,369,Hong Kong,4,68
297,369,Uruguay,4,68
297,351,Uruguay,4,68
297,351,Uruguay,4,68
297,351,Uruguay,4,53
294,351,Uruguay,4,53
294,351,Belarus,4,53
294,232,Belarus,4,53
294,232,Belarus,4,53
294,232,Belarus,4,13
215,232,Belarus,4,13
215,232,Channel Islands,4,13
215,122,Channel Islands,4,13
215,122,Channel Islands,4,13
215,122,Channel Islands,4,4
114,122,Channel Islands,4,4
114,122,Kenya,4,4
114,1075,Kenya,4,4
114,1075,Kenya,3,4
114,1075,Kenya,3,93
979,1075,Kenya,3,93
979,1075,Qatar,3,93
979,36,Qatar,3,93
979,36,Qatar,3,93
979,36,Qatar,3,0
33,36,Qatar,3,0
33,36,Mali,3,0
33,138,Mali,3,0
33,138,Mali,3,0
33,138,Mali,3,27
108,138,Mali,3,27
108,138,Martinique,3,27
108,92,Martinique,3,27
108,92,Martinique,3,27
108,92,Martinique,3,6
83,92,Martinique,3,6
83,92,Paraguay,3,6
83,47,Paraguay,3,6
83,47,Paraguay,3,6
83,47,Paraguay,3,2
42,47,Paraguay,3,2
42,47,Jamaica,3,2
42,40,Jamaica,3,2
42,40,Jamaica,3,2
42,40,Jamaica,3,17
20,40,Jamaica,3,17
20,40,Togo,3,17
20,16,Togo,3,17
20,16,Togo,2,17
20,16,Togo,2,0
14,16,Togo,2,0
14,16,Syria,2,0
14,8,Syria,2,0
14,8,Syria,2,0
14,8,Syria,2,1
5,8,Syria,2,1
5,8,Angola,2,1
5,221,Angola,2,1
5,221,Angola,2,1
5,221,Angola,2,25
194,221,Angola,2,25
194,221,Uzbekistan,2,25
194,174,Uzbekistan,2,25
194,174,Uzbekistan,2,25
194,174,Uzbekistan,2,1
171,174,Uzbekistan,2,1
171,174,Montenegro,2,1
171,46,Montenegro,2,1
171,46,Montenegro,2,1
171,46,Montenegro,2,0
44,46,Montenegro,2,0
